Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EV,EV FQ-1,EV FQ-2,EV FQ-3,EV FQ-4,EV FQ-5,EV FQ-6,EV FQ-7,EV FQ-8,EV FQ-9,EV FQ-10,EV FQ-11,EV FQ-12
1999,Man Wah Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,3.387 B,2023,3.607 B,4.545 B,4.465 B,6.285 B,5.909 B,9.591 B,8.481 B,8.526 B,5.329 B,3.927 B,2.447 B,3.083 B,2.787 B
3998,Bosideng International Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,5.975 B,2023,5.329 B,5.642 B,4.486 B,6.245 B,6.796 B,6.789 B,4.299 B,5 B,2.697 B,2.674 B,2.3 B,3.675 B,3.789 B
151,Want Want China Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",7.75 B,2023,6.49 B,8.819 B,9.263 B,9.526 B,7.535 B,7.149 B,7.592 B,7.776 B,7.346 B,8.21 B,8.131 B,10.733 B,8.802 B
374,Four Seas Mercantile Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",130.2 M,2023,183.5 M,198.8 M,216.1 M,226.4 M,203.5 M,226.4 M,235.2 M,235.9 M,184.4 M,207.7 M,198.7 M,218.2 M,133.7 M
131,Cheuk Nang (Holdings) Limited,Real Estate,Real Estate Management & Development,Real Estate,174.6 M,2023,318 M,292.2 M,110.6 M,121.6 M,131.6 M,151.1 M,311.1 M,317.4 M,270.2 M,302.4 M,431.3 M,348.6 M,420.8 M
590,Luk Fook Holdings (International) Limited,Consumer Discretionary,Specialty Retail,Retailing,1.93 B,2023,1.731 B,1.306 B,1.21 B,1.36 B,1.247 B,1.701 B,1.433 B,1.233 B,1.367 B,1.161 B,1.206 B,1.714 B,1.501 B
896,Hanison Construction Holdings Limited,Industrials,Construction & Engineering,Capital Goods,158.4 M,2023,276.2 M,290.8 M,407.6 M,423.5 M,481.8 M,477.6 M,445.7 M,410.4 M,308 M,283.3 M,171.7 M,156.7 M,26.839 M
1854,China Wantian Holdings Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,108.4 M,2023,106.7 M,53.65 M,52.612 M,60.617 M,51.202 M,22.451 M,13.857 M,17.633 M,15.145 M,16.283 M,16.928 M,29.616 M,39.444 M
1651,Precision Tsugami (China) Corporation Limited,Industrials,Machinery,Capital Goods,385.2 M,2023,297.4 M,396.4 M,337.2 M,375.4 M,442.7 M,487 M,401.6 M,316.2 M,277.3 M,259.3 M,264.2 M,294.7 M,268.7 M
2138,EC Healthcare,Consumer Discretionary,Diversified Consumer Services,Consumer Services,1.024 B,2023,1.087 B,1.232 B,1.187 B,1.623 B,1.63 B,2.033 B,932 M,810.7 M,631 M,520.9 M,445 M,694.6 M,606.7 M
1382,Pacific Textiles Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,466.5 M,2023,404.3 M,517.6 M,612.8 M,626.5 M,653.2 M,779 M,839.6 M,863.4 M,605 M,623.5 M,585.6 M,897.9 M,893.8 M
33,International Genius Company,Consumer Discretionary,Distributors,Retailing,134.8 M,2023,127 M,113.5 M,118.6 M,92.024 M,82.402 M,104.1 M,116.8 M,178.9 M,39.685 M,36.751 M,47.693 M,37.274 M,36.811 M
3818,"China Dongxiang (Group) Co., Ltd.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,242.8 M,2023,-279.9 M,-233.6 M,-344.1 M,-210.3 M,-146.5 M,245.9 M,-92.116 M,-160.4 M,4.14 M,-200.1 M,195.6 M,338.1 M,338.2 M
17,New World Development Company Limited,Real Estate,Real Estate Management & Development,Real Estate,6.861 B,2023,11.237 B,12.184 B,14.229 B,14.417 B,10.391 B,13.742 B,18.216 B,18.687 B,14.844 B,17.694 B,17.068 B,15.828 B,13.375 B
1729,Time Interconnect Technology Limited,Industrials,Electrical Equipment,Capital Goods,421.4 M,2023,499.5 M,504.7 M,407.7 M,295.4 M,222.4 M,220.7 M,222.4 M,202.8 M,49.65 M,56.769 M,45.212 M,82.762 M,87.546 M
2161,JBM (Healthcare) Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",111.1 M,2023,122.1 M,107.5 M,126.2 M,140.4 M,142.7 M,191.7 M,180 M,NA,NA,NA,NA,NA,NA
9913,Chi Kan Holdings Limited,Industrials,Construction & Engineering,Capital Goods,270.1 M,2023,252.1 M,301.4 M,365.9 M,425.3 M,412.9 M,387 M,336.5 M,35.606 M,39.722 M,NA,NA,NA,NA
2153,"Tat Hong Equipment Service Co., Ltd.",Industrials,Construction & Engineering,Capital Goods,196.2 M,2023,287.1 M,238.7 M,234.3 M,233.9 M,223.1 M,259.8 M,295.5 M,NA,NA,NA,NA,NA,NA
1942,MOG Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,1.543 B,2023,1.474 B,90.555 M,53.108 M,52.076 M,38.469 M,36.312 M,53.058 M,26.761 M,47.844 M,37.863 M,NA,NA,NA
1082,Bradaverse Education (Int'l) Investments Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,129.2 M,2023,121.4 M,111.6 M,125 M,109.7 M,115.4 M,115.6 M,121.1 M,97.353 M,91.938 M,82.127 M,60.345 M,48.548 M,45.522 M
1283,Accel Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,129.4 M,2023,121.2 M,151.2 M,136.3 M,141.1 M,135.8 M,133 M,150.8 M,168.7 M,162.8 M,71.973 M,59.643 M,52.153 M,NA
6110,Topsports International Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,5.672 B,2023,6.159 B,4.66 B,6.693 B,7.479 B,8.775 B,9.898 B,9.544 B,9.662 B,8.168 B,9.177 B,8.267 B,8.065 B,NA
7841,HK Acquisition Corporation,Financials,Capital Markets,Diversified Financials,141.5 M,2022,141.6 M,141.5 M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1188,Hybrid Kinetic Group Limited,Consumer Discretionary,Automobiles,Automobiles & Components,103.7 M,2022,91.353 M,76.597 M,87.668 M,80.89 M,36.893 M,32.649 M,6.208 M,7.263 M,22.963 M,5.73 M,15.775 M,43.492 M,71.516 M
6185,CanSino Biologics Inc.,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",2.562 B,2022,2.056 B,2.047 B,3.955 B,5.359 B,7.552 B,9.819 B,20.195 B,10.664 B,8.82 B,8.544 B,6.015 B,3.462 B,1.577 B
2660,Zengame Technology Holding Limited,Communication Services,Entertainment,Media,433.4 M,2022,248.5 M,99.087 M,35.909 M,26.815 M,59.826 M,68.8 M,62.158 M,49.049 M,73.115 M,36.862 M,31.453 M,36.801 M,94.68 M
6805,Kimou Environmental Holding Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,130.2 M,2022,453.3 M,436.3 M,400.2 M,406.6 M,380.8 M,371.3 M,340.7 M,333.1 M,281.7 M,231.2 M,231.3 M,226.9 M,276.9 M
1731,Prosperous Industrial (Holdings) Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,101.3 M,2022,58.53 M,112.8 M,105.2 M,144.2 M,173.6 M,10.58 M,2.372 M,-3.408 M,-8.907 M,1.642 M,30.488 M,218.2 M,122.5 M
1773,Tianli International Holdings Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,639.4 M,2022,650.2 M,270.2 M,569.2 M,607.2 M,636.6 M,1.154 B,2.459 B,2.064 B,2.356 B,1.31 B,1.008 B,727.9 M,827.2 M
1652,Fusen Pharmaceutical Company Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",117.9 M,2022,126.7 M,89.25 M,104.6 M,227.9 M,266 M,440.5 M,418 M,335.5 M,306.7 M,309.9 M,461.5 M,566.1 M,261.9 M
1911,China Renaissance Holdings Limited,Financials,Capital Markets,Diversified Financials,517.7 M,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1431,YuanShengTai Dairy Farm Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",104.6 M,2022,39.413 M,40.849 M,-6.304 M,44.299 M,198.7 M,282.9 M,299.1 M,214.5 M,135.7 M,8.574 M,18.819 M,6.741 M,-47.916 M
1359,"China Cinda Asset Management Co., Ltd.",Financials,Capital Markets,Diversified Financials,5.056 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1233,Times China Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,230.3 M,2022,7.417 B,7.116 B,6.015 B,8.512 B,7.603 B,8.138 B,7.369 B,7.736 B,8.629 B,8.289 B,9.51 B,8.596 B,8.551 B
1268,China MeiDong Auto Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,2.869 B,2022,3.283 B,4.886 B,6.354 B,6.173 B,6.76 B,5.739 B,5.06 B,4.771 B,3.173 B,1.937 B,1.655 B,1.168 B,853.5 M
586,China Conch Venture Holdings Limited,Industrials,Construction & Engineering,Capital Goods,3.27 B,2022,269.5 M,1.465 B,4.752 B,4.891 B,3.753 B,4.816 B,4.692 B,4.801 B,3.986 B,4.85 B,4.402 B,3.623 B,3.012 B
1448,Fu Shou Yuan International Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,1.918 B,2022,1.638 B,1.033 B,1.358 B,1.397 B,1.578 B,1.638 B,1.914 B,2.097 B,1.884 B,1.963 B,1.837 B,1.738 B,1.697 B
3369,"Qinhuangdao Port Co., Ltd.",Industrials,Transportation Infrastructure,Transportation,1.903 B,2022,1.586 B,2.122 B,2.193 B,2.172 B,2.221 B,2.103 B,2.222 B,2.19 B,2 B,1.909 B,2.1 B,2.48 B,2.411 B
1738,Feishang Anthracite Resources Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,119.6 M,2022,481 M,601.1 M,604.9 M,572.2 M,574.9 M,579.5 M,601.9 M,546.8 M,531.1 M,528.5 M,560.3 M,544.8 M,567.8 M
3882,Sky Light Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,155.8 M,2022,150.6 M,11.839 M,13.312 M,15.418 M,13.279 M,12.827 M,15.439 M,17.931 M,20.64 M,17.253 M,31.444 M,27.361 M,26.046 M
1977,Analogue Holdings Limited,Industrials,Construction & Engineering,Capital Goods,231.9 M,2022,90.711 M,65.299 M,100.8 M,178.8 M,101.5 M,104 M,163 M,70.443 M,64.742 M,46.485 M,64.806 M,73.783 M,102.6 M
2298,Cosmo Lady (China) Holdings Company Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,111.8 M,2022,21.063 M,-25.056 M,31.594 M,69.856 M,234.6 M,206.1 M,270.9 M,114.8 M,-14.671 M,96.596 M,47.433 M,112.3 M,141.8 M
288,WH Group Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",8.035 B,2022,11.989 B,11.478 B,9.703 B,10.686 B,14.528 B,13.218 B,14.462 B,14.09 B,15.631 B,16.709 B,18.615 B,16.647 B,17.575 B
1321,China New City Commercial Development Limited,Real Estate,Real Estate Management & Development,Real Estate,256.2 M,2022,707 M,879.2 M,890 M,888.1 M,1.104 B,1.05 B,969.7 M,957.5 M,1.009 B,1.019 B,874.5 M,931.5 M,672 M
1330,"Dynagreen Environmental Protection Group Co., Ltd.",Industrials,Commercial Services & Supplies,Commercial & Professional Services,1.044 B,2022,2.55 B,2.955 B,3.112 B,3.352 B,3.493 B,2.894 B,2.994 B,2.879 B,2.55 B,2.348 B,2.278 B,2.337 B,2.314 B
2186,Luye Pharma Group Ltd.,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",1.663 B,2022,2.275 B,1.986 B,2.039 B,2.349 B,3.061 B,3.045 B,2.13 B,2.503 B,2.601 B,2.203 B,2.796 B,2.675 B,2.76 B
3996,China Energy Engineering Corporation Limited,Industrials,Construction & Engineering,Capital Goods,5.311 B,2022,22.775 B,19.482 B,17.568 B,19.716 B,18.673 B,15.473 B,13.041 B,12.586 B,13.705 B,12.645 B,12.293 B,15.135 B,14.205 B
1508,China Reinsurance (Group) Corporation,Financials,Insurance,Insurance,3.03 B,2022,11.788 B,13.695 B,12.107 B,12.835 B,13.016 B,12.661 B,11.516 B,11.026 B,9.83 B,10.144 B,11.497 B,11.376 B,12.566 B
1858,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,1.361 B,2022,1.133 B,764.8 M,749.9 M,782.2 M,1.338 B,649.6 M,1.055 B,722.1 M,912.1 M,1.597 B,2.289 B,1.669 B,755.7 M
1415,Cowell e Holdings Inc.,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,2.101 B,2022,1.995 B,1.105 B,978.2 M,712.6 M,1.36 B,476.6 M,472.2 M,431.9 M,494.2 M,228.4 M,156.1 M,56.345 M,57.701 M
3908,China International Capital Corporation Limited,Financials,Capital Markets,Diversified Financials,18.519 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"IMAX China Holding, Inc.",Communication Services,Entertainment,Media,354.1 M,2022,294.1 M,164.2 M,247.6 M,312.4 M,394 M,402.3 M,440.2 M,695 M,517.1 M,494.8 M,415.8 M,451.4 M,640.8 M
3600,Modern Dental Group Limited,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,351.6 M,2022,390.7 M,391.7 M,705.8 M,999.5 M,925.2 M,291.2 M,257.9 M,228.7 M,259.7 M,229.9 M,270.8 M,291.3 M,209.1 M
1585,Yadea Group Holdings Ltd.,Consumer Discretionary,Automobiles,Automobiles & Components,7.061 B,2022,5.958 B,2.951 B,4.168 B,3.26 B,4.945 B,5.149 B,4.867 B,3.159 B,1.154 B,-76.922 M,224.7 M,90.541 M,370 M
1579,Yihai International Holding Ltd.,Consumer Staples,Food Products,"Food, Beverage & Tobacco",2.691 B,2022,2.465 B,2.513 B,4.28 B,5.199 B,6.176 B,9.83 B,14.276 B,15.046 B,9.816 B,7.143 B,5.536 B,5.621 B,4.875 B
1523,Plover Bay Technologies Limited,Information Technology,Communications Equipment,Technology Hardware & Equipment,348.6 M,2022,326.7 M,316.7 M,379.7 M,424.6 M,536.4 M,324.6 M,210.2 M,163 M,107.5 M,98.951 M,106.5 M,104.9 M,126.7 M
2278,Hailan Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,122.3 M,2022,362.2 M,366.9 M,409.4 M,390.7 M,408.7 M,396.4 M,212.3 M,206.1 M,159.6 M,81.661 M,36.581 M,-10.996 M,-67.197 M
6836,Tianyun International Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",187.6 M,2022,134.7 M,159.4 M,153.8 M,155.3 M,166.8 M,175.6 M,153.7 M,91.901 M,84.086 M,61.368 M,95.943 M,99.13 M,112.1 M
6896,Golden Throat Holdings Group Company Limited,Consumer Staples,Personal Products,Household & Personal Products,243 M,2022,162.6 M,79.958 M,63.55 M,162.4 M,81.081 M,66.716 M,58.218 M,83.039 M,69.811 M,86.957 M,56.186 M,120.9 M,101.4 M
2666,Genertec Universal Medical Group Company Limited,Financials,Diversified Financial Services,Diversified Financials,1.147 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,Minsheng Education Group Company Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,220.3 M,2022,185.2 M,304.1 M,457.4 M,560.3 M,624.8 M,599.1 M,480.6 M,477.9 M,429.4 M,453.9 M,696.7 M,655.2 M,614.5 M
1608,VPower Group International Holdings Limited,Industrials,Electrical Equipment,Capital Goods,108.1 M,2022,245.4 M,538.5 M,651.5 M,768.6 M,640.2 M,757.1 M,1.059 B,1.224 B,1.632 B,1.076 B,1.159 B,1.071 B,1.188 B
1458,Zhou Hei Ya International Holdings Company Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",1.094 B,2022,820.1 M,924.7 M,1.371 B,2.016 B,2.504 B,2.159 B,2.254 B,2.231 B,1.748 B,1.107 B,1.36 B,766.5 M,879.5 M
6122,Jilin Jiutai Rural Commercial Bank Corporation Limited,Financials,Banks,Banks,1.416 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1809,Prinx Chengshan Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,428.9 M,2022,666.6 M,772.4 M,748.6 M,672.9 M,710.1 M,661.6 M,684.2 M,663.4 M,534.1 M,486.4 M,510.1 M,524.2 M,364 M
3868,Xinyi Energy Holdings Limited,Utilities,Independent Power & Renewable Electricity Producers,Utilities,2.246 B,2022,2.748 B,2.76 B,4.307 B,4.89 B,4.316 B,4.578 B,4.376 B,3.594 B,4.977 B,3.887 B,2.232 B,1.944 B,1.923 B
2798,Perennial Energy Holdings Limited,Materials,Metals & Mining,Materials,236.4 M,2022,315.7 M,269.5 M,437.3 M,396 M,373.4 M,378.1 M,415.7 M,3.261 B,2.035 B,1.49 B,623.7 M,343.8 M,417 M
1983,"Luzhou Bank Co., Ltd.",Financials,Banks,Banks,875.9 M,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1837,Natural Food International Holding Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",147.8 M,2022,51.85 M,18.736 M,39.008 M,54.53 M,53.488 M,107.7 M,113.7 M,110.9 M,128 M,128.7 M,331.6 M,301.7 M,399.4 M
1860,Mobvista Inc.,Communication Services,Media,Media,804.4 M,2022,817.3 M,1.058 B,1.395 B,1.413 B,1.96 B,1.043 B,890.8 M,691.2 M,736.2 M,597.5 M,643.8 M,738 M,547.3 M
1820,Pacific Millennium Packaging Group Corporation,Materials,Containers & Packaging,Materials,242.4 M,2022,329.3 M,325.7 M,314.5 M,315.7 M,294.5 M,286 M,250.3 M,228.7 M,219.5 M,217.5 M,226.6 M,213.8 M,199.9 M
3798,Homeland Interactive Technology Ltd.,Communication Services,Entertainment,Media,315.9 M,2022,120.4 M,33.049 M,137.5 M,173.9 M,705.7 M,666 M,743.4 M,764.4 M,390.4 M,439.3 M,391.9 M,258.1 M,NA
1755,"S-Enjoy Service Group Co., Limited",Real Estate,Real Estate Management & Development,Real Estate,638.2 M,2022,259.8 M,555.4 M,753.4 M,1.391 B,2.318 B,2.342 B,1.664 B,1.891 B,1.871 B,1.421 B,1.096 B,532.1 M,694.8 M
6862,Haidilao International Holding Ltd.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,14.663 B,2022,16.055 B,12.253 B,14.37 B,22.652 B,29.325 B,37.64 B,41.484 B,38.796 B,22.517 B,20.802 B,21.274 B,22.639 B,21.597 B
1034,Fullwealth International Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,201.8 M,2022,176.8 M,413 M,432.7 M,388.1 M,325.4 M,325 M,87.792 M,36.414 M,39.48 M,42.152 M,52.698 M,44.227 M,42.992 M
1725,Hong Kong Aerospace Technology Group Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,461.3 M,2022,551.2 M,545.4 M,1.085 B,1.204 B,1.02 B,57.2 M,36.552 M,36.563 M,40.612 M,39.44 M,66.443 M,26.252 M,40.216 M
1996,Redsun Properties Group Limited,Real Estate,Real Estate Management & Development,Real Estate,142.5 M,2022,3.916 B,4.402 B,4.209 B,4.421 B,3.976 B,3.661 B,3.403 B,3.971 B,3.345 B,3.561 B,3.083 B,3.5 B,2.873 B
797,7Road Holdings Limited,Communication Services,Entertainment,Media,834.8 M,2022,818.9 M,854.8 M,807.4 M,802.1 M,847.1 M,835.4 M,940.7 M,914.1 M,921.2 M,889.3 M,841 M,902.7 M,389.6 M
1817,Mulsanne Group Holding Limited,Consumer Discretionary,Specialty Retail,Retailing,303.8 M,2022,492.6 M,546 M,758.8 M,776 M,868.8 M,844.6 M,730.1 M,822.7 M,985.4 M,869.8 M,1.119 B,976.8 M,672.2 M
754,Hopson Development Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,2.698 B,2022,12.126 B,14.469 B,12.113 B,15.614 B,18.321 B,16.434 B,12.594 B,13.359 B,8.498 B,7.978 B,7.076 B,6.674 B,7.272 B
1901,Feiyang International Holdings Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,113.1 M,2022,132.4 M,85.786 M,103.1 M,77.433 M,71.054 M,71.977 M,68.207 M,74.675 M,50.576 M,72.823 M,77.429 M,69.326 M,66.189 M
2019,Dexin China Holdings Company Limited,Real Estate,Real Estate Management & Development,Real Estate,215.6 M,2022,3.997 B,4.686 B,4.669 B,4.749 B,3.877 B,3.581 B,2.826 B,2.852 B,2.133 B,2.62 B,1.878 B,2.063 B,2.513 B
6811,Tai Hing Group Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,126.8 M,2022,237.1 M,247.6 M,313.9 M,350.5 M,425.1 M,420.7 M,332.8 M,353.5 M,333.1 M,277.6 M,357.1 M,389.5 M,387.1 M
2181,Mabpharm Limited,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",283.7 M,2022,302.9 M,389.4 M,487.8 M,446.1 M,596 M,579.3 M,466.9 M,541.5 M,612.5 M,436.7 M,482.1 M,400.4 M,780.2 M
1905,"Haitong Unitrust International Financial Leasing Co., Ltd.",Financials,Diversified Financial Services,Diversified Financials,891.7 M,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6055,China Tobacco International (HK) Company Limited,Consumer Discretionary,Distributors,Retailing,912.9 M,2022,987.3 M,760.1 M,1.107 B,1.162 B,1.159 B,1.243 B,1.299 B,1.591 B,1.114 B,1.101 B,1.184 B,1.112 B,1.487 B
1951,Jinxin Fertility Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,1.865 B,2022,2.361 B,1.928 B,2.318 B,3.288 B,6.015 B,5.078 B,4.51 B,2.646 B,3.246 B,2.266 B,2.835 B,3.111 B,2.497 B
1873,Viva Biotech Holdings,Healthcare,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",372.1 M,2022,502.1 M,849.5 M,1.146 B,1.509 B,2.38 B,1.606 B,1.917 B,1.874 B,1.653 B,605.9 M,649.4 M,686.4 M,652.5 M
1992,Fosun Tourism Group,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,1.538 B,2022,4.338 B,4.554 B,4.401 B,4.349 B,4.737 B,4.503 B,3.517 B,3.425 B,3.008 B,2.959 B,3.551 B,3.32 B,2.285 B
2232,Crystal International Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,1.047 B,2022,713.7 M,632.9 M,771.9 M,922.5 M,737.5 M,810.8 M,1.268 B,1.267 B,864.7 M,735.8 M,644.8 M,900.7 M,1.343 B
2686,AAG Energy Holdings Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,692.1 M,2022,323 M,243.4 M,273.7 M,220.6 M,388 M,891.6 M,296.7 M,315.4 M,283.5 M,226.7 M,190 M,238.1 M,352.7 M
1456,"Guolian Securities Co., Ltd.",Financials,Capital Markets,Diversified Financials,3.58 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2329,Glory Health Industry Limited,Real Estate,Real Estate Management & Development,Real Estate,117.8 M,2022,3.602 B,3.719 B,3.714 B,3.738 B,3.967 B,4.693 B,4.924 B,4.971 B,5.382 B,5.502 B,5.861 B,5.731 B,5.602 B
6196,"Bank of Zhengzhou Co., Ltd.",Financials,Banks,Banks,2.195 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3996,China Energy Engineering Corporation Limited,Industrials,Construction & Engineering,Capital Goods,5.311 B,2022,22.775 B,19.482 B,17.568 B,19.716 B,18.673 B,15.473 B,13.041 B,12.586 B,13.705 B,12.645 B,12.293 B,15.135 B,14.205 B
1858,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,1.361 B,2022,1.133 B,764.8 M,749.9 M,782.2 M,1.338 B,649.6 M,1.055 B,722.1 M,912.1 M,1.597 B,2.289 B,1.669 B,755.7 M
1508,China Reinsurance (Group) Corporation,Financials,Insurance,Insurance,3.03 B,2022,11.788 B,13.695 B,12.107 B,12.835 B,13.016 B,12.661 B,11.516 B,11.026 B,9.83 B,10.144 B,11.497 B,11.376 B,12.566 B
3799,Dali Foods Group Company Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",5.522 B,2022,3.881 B,5.33 B,5.063 B,6.161 B,6.352 B,5.975 B,5.906 B,6.438 B,6.706 B,7.941 B,8.343 B,6.617 B,7.629 B
1799,"Xinte Energy Co., Ltd.",Industrials,Construction & Engineering,Capital Goods,3.68 B,2022,6.243 B,5.684 B,6.746 B,5.666 B,5.28 B,6.477 B,5.117 B,4.768 B,4.169 B,3.21 B,3.024 B,3.089 B,2.422 B
1970,"IMAX China Holding, Inc.",Communication Services,Entertainment,Media,354.1 M,2022,294.1 M,164.2 M,247.6 M,312.4 M,394 M,402.3 M,440.2 M,695 M,517.1 M,494.8 M,415.8 M,451.4 M,640.8 M
3600,Modern Dental Group Limited,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,351.6 M,2022,390.7 M,391.7 M,705.8 M,999.5 M,925.2 M,291.2 M,257.9 M,228.7 M,259.7 M,229.9 M,270.8 M,291.3 M,209.1 M
2588,BOC Aviation Limited,Industrials,Trading Companies & Distributors,Capital Goods,5.305 B,2022,19.956 B,20.718 B,22.055 B,21.739 B,21.704 B,22.459 B,22.349 B,23.196 B,21.64 B,20.366 B,17.749 B,17.753 B,19.936 B
1585,Yadea Group Holdings Ltd.,Consumer Discretionary,Automobiles,Automobiles & Components,7.061 B,2022,5.958 B,2.951 B,4.168 B,3.26 B,4.945 B,5.149 B,4.867 B,3.159 B,1.154 B,-76.922 M,224.7 M,90.541 M,370 M
1606,"China Development Bank Financial Leasing Co., Ltd.",Financials,Diversified Financial Services,Diversified Financials,1.691 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,Minsheng Education Group Company Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,220.3 M,2022,185.2 M,304.1 M,457.4 M,560.3 M,624.8 M,599.1 M,480.6 M,477.9 M,429.4 M,453.9 M,696.7 M,655.2 M,614.5 M
6088,FIT Hon Teng Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,1.715 B,2022,1.595 B,928.8 M,1.143 B,1.237 B,1.512 B,1.736 B,2.099 B,2.363 B,2.576 B,2.814 B,2.619 B,1.413 B,2.04 B
1610,COFCO Joycome Foods Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",1.272 B,2022,2.475 B,2.561 B,2.31 B,2.071 B,2.836 B,3.292 B,3.228 B,3.224 B,2.334 B,2.121 B,1.635 B,1.671 B,1.677 B
3329,BOCOM International Holdings Company Limited,Financials,Capital Markets,Diversified Financials,167.2 M,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2337,United Strength Power Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,290.1 M,2022,370 M,679.2 M,754.6 M,518.2 M,697.3 M,445.1 M,421.3 M,255.8 M,182.9 M,164.3 M,170.7 M,132.4 M,127.6 M
6885,Henan Jinma Energy Company Limited,Materials,Metals & Mining,Materials,196.4 M,2022,526.9 M,425.4 M,457 M,484.2 M,348.2 M,373.3 M,181 M,213.7 M,112.7 M,104.1 M,60.875 M,66.5 M,86.435 M
